FeatureCode,DateCode,Measurement,Units,Value,IndicesOfDeprivation
E01032868,2015,Score,NA,0.019,Income Deprivation Domain
E01032599,2015,Score,NA,0.069,Income Deprivation Domain
E01032602,2015,Score,NA,0.33,Income Deprivation Domain
E01032872,2015,Score,NA,0.09,Income Deprivation Domain
E01032865,2015,Score,NA,0.104,Income Deprivation Domain
E01032863,2015,Score,NA,0.126,Income Deprivation Domain
E01032875,2015,Score,NA,0.043,Income Deprivation Domain
E01032862,2015,Score,NA,0.173,Income Deprivation Domain
E01032873,2015,Score,NA,0.208,Income Deprivation Domain
E01013770,2015,Score,NA,0.125,Income Deprivation Affecting Children Index (IDACI)
E01013760,2015,Score,NA,0.408,Income Deprivation Affecting Children Index (IDACI)
E01013712,2015,Score,NA,0.067,Income Deprivation Affecting Children Index (IDACI)
E01013726,2015,Score,NA,0.587,Income Deprivation Affecting Children Index (IDACI)
E01013754,2015,Score,NA,0.409,Income Deprivation Affecting Children Index (IDACI)
E01013691,2015,Score,NA,0.513,Income Deprivation Affecting Children Index (IDACI)
E01013669,2015,Score,NA,0.117,Income Deprivation Affecting Children Index (IDACI)
E01013600,2015,Score,NA,0.517,Income Deprivation Affecting Children Index (IDACI)
E01013619,2015,Score,NA,0.504,Income Deprivation Affecting Children Index (IDACI)
E01013618,2015,Score,NA,0.233,Income Deprivation Affecting Children Index (IDACI)
E01013684,2015,Score,NA,0.391,Income Deprivation Affecting Children Index (IDACI)
E01013692,2015,Score,NA,0.502,Income Deprivation Affecting Children Index (IDACI)
E01013693,2015,Score,NA,0.53,Income Deprivation Affecting Children Index (IDACI)
E01013715,2015,Score,NA,0.149,Income Deprivation Affecting Children Index (IDACI)
E01013730,2015,Score,NA,0.482,Income Deprivation Affecting Children Index (IDACI)
E01013707,2015,Score,NA,0.081,Income Deprivation Affecting Children Index (IDACI)
E01013685,2015,Score,NA,0.086,Income Deprivation Affecting Children Index (IDACI)
E01013748,2015,Score,NA,0.344,Income Deprivation Affecting Children Index (IDACI)
E01013625,2015,Score,NA,0.148,Income Deprivation Affecting Children Index (IDACI)
E01013657,2015,Score,NA,0.244,Income Deprivation Affecting Children Index (IDACI)
E01032867,2015,Score,NA,0.09,Income Deprivation Affecting Children Index (IDACI)
E01013668,2015,Score,NA,0.144,Income Deprivation Affecting Children Index (IDACI)
E01013673,2015,Score,NA,0.438,Income Deprivation Affecting Children Index (IDACI)
E01013672,2015,Score,NA,0.116,Income Deprivation Affecting Children Index (IDACI)
E01013606,2015,Score,NA,0.218,Income Deprivation Affecting Children Index (IDACI)
E01013698,2015,Score,NA,0.298,Income Deprivation Affecting Children Index (IDACI)
E01013699,2015,Score,NA,0.131,Income Deprivation Affecting Children Index (IDACI)
E01013661,2015,Score,NA,0.387,Income Deprivation Affecting Children Index (IDACI)
E01013611,2015,Score,NA,0.277,Income Deprivation Affecting Children Index (IDACI)
E01013667,2015,Score,NA,0.218,Income Deprivation Affecting Children Index (IDACI)
E01013662,2015,Score,NA,0.162,Income Deprivation Affecting Children Index (IDACI)
E01013617,2015,Score,NA,0.2,Income Deprivation Affecting Children Index (IDACI)
E01013634,2015,Score,NA,0.381,Income Deprivation Affecting Children Index (IDACI)
E01013736,2015,Score,NA,0.177,Income Deprivation Affecting Children Index (IDACI)
E01013683,2015,Score,NA,0.425,Income Deprivation Affecting Children Index (IDACI)
E01013719,2015,Score,NA,0.152,Income Deprivation Affecting Children Index (IDACI)
E01013624,2015,Score,NA,0.379,Income Deprivation Affecting Children Index (IDACI)
E01013741,2015,Score,NA,0.182,Income Deprivation Affecting Children Index (IDACI)
E01013635,2015,Score,NA,0.196,Income Deprivation Affecting Children Index (IDACI)
E01013679,2015,Score,NA,0.53,Income Deprivation Affecting Children Index (IDACI)
E01013747,2015,Score,NA,0.256,Income Deprivation Affecting Children Index (IDACI)
