VariableCode,VariableTable,VariableMeasurementUnit,VariableStatisticalUnit,VariableSubDomain,VariableDomain,VariableDescription,VariableTitle,EW_Code,SC_Code,NI_Code
Total_Population,Usual Resident Population,Count,Person,Totals,Totals,Total Population,Total_Population,KS101EW0001,KS101SC0001,KS101NI0001
Total_Households,Household Composition,Count,Household,Totals,Totals,Total Households,Total_Households,KS105EW0001,KS105SC0001,KS105NI0001
Total_Dwellings,"Dwellings, Household Spaces and Accomodation Type",Count,Dwelling,Totals,Totals,Total Dwellings,Total_Dwellings,KS401EW0001,KS401SC0001,KS401NI0001
Total_Household_Spaces,"Dwellings, Household Spaces and Accomodation Type",Count,Household_Spaces,Totals,Totals,Total Household Spaces,Total Number of Household Spaces,KS401EW0005,KS401SC0005,KS401NI0004
Total_Population_16_and_over,Age Structure,Count,Person_16_Over,Totals,Totals,Total Population (16 and over),Total_Population_16_and_over,"KS102EW0007, KS102EW0008, KS102EW0009, KS102EW0010, KS102EW0011, KS102EW0012, KS102EW0013, KS102EW0014, KS102EW0015, KS102EW0016, KS102EW0017",KS103SC0001,KS103NI0001
Total_Population_16_to_74,Age Structure,Count,Person_16_to_74,Totals,Totals,Total Population (16 to 74),Total_Population_16_to_74,"KS102EW0007, KS102EW0008, KS102EW0009, KS102EW0010, KS102EW0011, KS102EW0012, KS102EW0013, KS102EW0014",KS601SC0001,KS601NI0001
Total_Pop_No_NI_Students_16_to_74,Age Structure,Count,Not_Students_16_to_74,Totals,Totals,Total Population (16 to 74),Total_Population_16_to_74,QS701EW0001,QS701SC0001,KS701NI0001
Total_Employment_16_to_74,Age Structure,Count,Employment_16_to_74,Totals,Totals,Total Employment (16 to 74),Total_Employment_16_to_74,KS605EW0001,KS605SC0001,KS605NI0001
Total_Pop_in_Housesholds_16_and_over,Age Structure,Count,Pop_Household_16_Over,Totals,Totals,Total Population in Households (16 and over),Total_Population_in_Households_16_and_over,QS108EW0001,QS108SC0001,QS107NI0001
Total_Population_3_and_over,Age Structure,Count,Person_3_Over,Totals,Totals,Total Population (3 and over),Total_Population_3_and_over,QS204EW0001,QS205SC0001,KS207NI0001
