OA11CD,LSOA11CD,supgrpcode,supgrpname,Total_Population
E00069517,E01013785,6,Suburbanites,313
E00069514,E01013784,2,Cosmopolitans,323
E00169516,E01013713,4,Multicultural Metropolitans,341
E00169048,E01032862,4,Multicultural Metropolitans,345
E00169044,E01032862,4,Multicultural Metropolitans,322
E00069041,E01013679,4,Multicultural Metropolitans,334
E00169049,E01032862,4,Multicultural Metropolitans,336
E00068806,E01013628,4,Multicultural Metropolitans,312
E00068886,E01013647,3,Ethnicity Central,505
E00068807,E01013624,4,Multicultural Metropolitans,362
E00068883,E01013643,4,Multicultural Metropolitans,287
E00068802,E01013630,4,Multicultural Metropolitans,477
E00068882,E01013643,2,Cosmopolitans,285
E00068803,E01013630,4,Multicultural Metropolitans,463
E00069029,E01013677,7,Constrained City Dwellers,307
E00069006,E01013668,4,Multicultural Metropolitans,363
E00069087,E01013684,4,Multicultural Metropolitans,309
E00069004,E01013670,4,Multicultural Metropolitans,411
E00069085,E01013684,4,Multicultural Metropolitans,299
E00169461,E01032873,2,Cosmopolitans,229
E00169464,E01013659,4,Multicultural Metropolitans,393
E00168107,E01013659,4,Multicultural Metropolitans,133
E00069213,E01013712,4,Multicultural Metropolitans,201
E00169553,E01013648,2,Cosmopolitans,714
E00169527,E01032867,3,Ethnicity Central,252
E00169555,E01032863,4,Multicultural Metropolitans,376
E00069464,E01013772,8,Hard-Pressed Living,286
E00169460,E01032872,2,Cosmopolitans,252
E00069468,E01013767,6,Suburbanites,251
E00169469,E01013680,4,Multicultural Metropolitans,302
E00068757,E01013616,5,Urbanites,239
E00068666,E01013601,4,Multicultural Metropolitans,324
E00068664,E01013602,4,Multicultural Metropolitans,278
E00068669,E01013602,4,Multicultural Metropolitans,343
E00068946,E01013654,3,Ethnicity Central,257
E00068947,E01013658,4,Multicultural Metropolitans,402
E00068945,E01013656,4,Multicultural Metropolitans,417
E00068943,E01013655,4,Multicultural Metropolitans,434
E00068940,E01013653,4,Multicultural Metropolitans,352
E00068941,E01013655,4,Multicultural Metropolitans,403
E00068949,E01013658,4,Multicultural Metropolitans,520
E00069192,E01013706,5,Urbanites,346
E00069190,E01013705,4,Multicultural Metropolitans,347
E00069111,E01013693,8,Hard-Pressed Living,353
E00069024,E01013675,8,Hard-Pressed Living,217
E00069377,E01013747,4,Multicultural Metropolitans,392
E00069371,E01013746,3,Ethnicity Central,303
E00069379,E01013747,4,Multicultural Metropolitans,343
E00069215,E01013715,4,Multicultural Metropolitans,400
