OA11CD,supgrpcode,supgrpname
E00069517,6,Suburbanites
E00069468,6,Suburbanites
E00069528,6,Suburbanites
E00069538,6,Suburbanites
E00069174,6,Suburbanites
E00069170,6,Suburbanites
E00069171,6,Suburbanites
E00068713,6,Suburbanites
E00069005,6,Suburbanites
E00069014,6,Suburbanites
E00068989,6,Suburbanites
E00068994,6,Suburbanites
E00069065,6,Suburbanites
E00069307,6,Suburbanites
E00069314,6,Suburbanites
E00069315,6,Suburbanites
E00069318,6,Suburbanites
E00069136,6,Suburbanites
E00165826,6,Suburbanites
E00165827,6,Suburbanites
E00068753,6,Suburbanites
E00069197,6,Suburbanites
E00069199,6,Suburbanites
E00069198,6,Suburbanites
E00069022,6,Suburbanites
E00069527,6,Suburbanites
E00068845,6,Suburbanites
E00068726,6,Suburbanites
E00068724,6,Suburbanites
E00068722,6,Suburbanites
E00068732,6,Suburbanites
E00068731,6,Suburbanites
E00069166,6,Suburbanites
E00069168,6,Suburbanites
E00069169,6,Suburbanites
E00069008,6,Suburbanites
E00069009,6,Suburbanites
E00069263,6,Suburbanites
E00069172,6,Suburbanites
E00069015,6,Suburbanites
E00069515,6,Suburbanites
E00068985,6,Suburbanites
E00069156,6,Suburbanites
E00068995,6,Suburbanites
E00068993,6,Suburbanites
E00069066,6,Suburbanites
E00069064,6,Suburbanites
E00069068,6,Suburbanites
E00069131,6,Suburbanites
E00069544,6,Suburbanites
E00069545,6,Suburbanites
E00068748,6,Suburbanites
E00068743,6,Suburbanites
E00068813,6,Suburbanites
